Title,Time,Artist,Album,Genre,Heart,Plays
Forever & Always (Piano Version) [Taylor’s Version],4:28,Taylor Swift,Fearless (Taylor's Version),Country,0,25
betty (the long pond studio sessions),4:50,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Alternative,0,25
Wonderland,4:06,Taylor Swift,1989 (Deluxe Edition),Pop,0,25
Nightwatchman,3:59,Tom Petty & The Heartbreakers,Hard Promises,Pop,0,25
Between Two Worlds,5:10,Tom Petty & The Heartbreakers,Long After Dark,Pop,0,25
"The Wild One, Forever",3:02,Tom Petty & The Heartbreakers,Tom Petty & The Heartbreakers,Rock,0,25
When the Time Comes,2:47,Tom Petty & The Heartbreakers,You're Gonna Get It!,Rock,0,25
Burn Out Brighter (Northern Lights),3:34,Anberlin,New Surrender,Alternative,0,24
Haight St,2:59,Anberlin,New Surrender,Alternative,0,24
Said and Done,4:04,Anberlin,New Surrender,Alternative,0,24
These Pages,5:00,Chris Pureka,Dryland,Singer/Songwriter,0,24
Clearest Blue,3:54,CHVRCHES,Every Open Eye,Alternative,0,24
Hearts Don't Break Around Here,4:08,Ed Sheeran,÷ (Deluxe),Pop,0,24
Thinking Out Loud,4:42,Ed Sheeran,x (Wembley Edition),Pop,0,24
"Gypsy (Live at the Forum, Los Angeles, CA October 21-22, 1982)",4:34,Fleetwood Mac,Mirage (Deluxe),Rock,0,24
All Things Must Pass (2020 Mix),3:47,George Harrison,All Things Must Pass (50th Anniversary),Rock,0,24
Jackie and Wilson,3:43,Hozier,Hozier (Bonus Track Version),Alternative,0,24
Nina Cried Power (feat. Mavis Staples),3:45,Hozier,"Wasteland, Baby!",Alternative,0,24
As It Was,3:28,Hozier,"Wasteland, Baby!",Alternative,0,24
Magnolia,3:25,J.J. Cale,Naturally,Rock,0,24
State of Grace,4:48,Minnz Piano,Red: Piano Instrumentals,Pop,0,24
Red Wing (Live),4:22,The Steel Wheels,The Steel Wheels (Live at Goose Creek),Country,0,24
Two Kinds of Love,4:46,Stevie Nicks & Bruce Hornsby,The Other Side of the Mirror,Rock,0,24
champagne problems,4:04,Taylor Swift,evermore,Alternative,0,24
tolerate it,4:05,Taylor Swift,evermore (deluxe version),Alternative,0,24
mad woman,3:57,Taylor Swift,folklore,Alternative,0,24
the last great american dynasty,3:51,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Alternative,0,24
Wildflowers (Live),4:17,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,24
Counting On You,4:06,Tom Petty & The Heartbreakers,Echo,Rock,0,24
Lonesome Sundown,4:32,Tom Petty & The Heartbreakers,Echo,Rock,0,24
Think About Me,3:44,Tom Petty & The Heartbreakers,Let Me Up (I've Had Enough),Rock,0,24
The Same Old You,3:29,Tom Petty & The Heartbreakers,Long After Dark,Pop,0,24
I Need to Know,2:22,Tom Petty & The Heartbreakers,You're Gonna Get It!,Rock,0,24
My My My!,3:25,Troye Sivan,Bloom,Pop,0,24
Breaking,3:26,Anberlin,New Surrender,Alternative,0,23
True Faith,3:42,Anberlin,New Surrender,Alternative,0,23
Lowlands,3:33,Chris Pureka,How I Learned to See In the Dark,Alternative,0,23
Down By the Water,3:42,The Decemberists,The King Is Dead,Adult Alternative,0,23
Don't,3:40,Ed Sheeran,x (Wembley Edition),Pop,0,23
Give Me Love (Give Me Peace On Earth),3:36,George Harrison,Living In the Material World,Rock,0,23
The Stable Song,6:01,Gregory Alan Isakov,"That Sea, the Gambler",Singer/Songwriter,0,23
Take Me to Church,4:02,Hozier,Hozier (Bonus Track Version),Alternative,0,23
Villain,3:45,Maisie Peters,You Signed Up For This (Apple Music Up Next Film Edition),Pop,0,23
Tough Act,3:37,Maisie Peters,You Signed Up For This (Apple Music Up Next Film Edition),Pop,0,23
I'll Be Ready,3:32,The Steel Wheels,Over the Trees,Americana,0,23
Cry Wolf,4:10,Stevie Nicks,The Other Side of the Mirror,Rock,0,23
Some Become Strangers,3:28,Stevie Nicks,Rock a Little,Rock,0,23
"no body, no crime (feat. HAIM)",3:36,Taylor Swift,evermore (deluxe version),Alternative,0,23
right where you left me (bonus track),4:05,Taylor Swift,evermore (deluxe version),Alternative,0,23
Mr. Perfectly Fine (Taylor’s Version) [From The Vault],4:38,Taylor Swift,Fearless (Taylor's Version),Country,0,23
The Lucky One (Taylor's Version),4:00,Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0,23
You Can Still Change Your Mind,4:17,Tom Petty & The Heartbreakers,Hard Promises,Pop,0,23
All Mixed Up,3:42,Tom Petty & The Heartbreakers,Let Me Up (I've Had Enough),Rock,0,23
Handle With Care,3:19,The Traveling Wilburys,"The Traveling Wilburys, Vol. 1 (Remastered)",Rock,0,23
Be_Still_Bobby_Dunne_Solo,4:28,,,,0,23
Retrace,3:50,Anberlin,New Surrender,Alternative,0,22
Shepherd,2:34,Chris Pureka,Chimera II,Singer/Songwriter,0,22
Roadside,4:38,Chris Pureka,Driving North,Singer/Songwriter,0,22
Eraser,3:48,Ed Sheeran,÷ (Deluxe),Pop,0,22
Hold It All At Bay,2:38,Girlyman,Joyful Sign,Folk,0,22
Hurts But It Goes Away,3:15,The Head and the Heart,Every Shade of Blue,Alternative,0,22
Kings Highway,3:07,James Bay,Cars 3 (Original Motion Picture Soundtrack),Soundtrack,0,22
Wild Love,3:17,James Bay,Electric Light,Alternative,0,22
Fade Out,3:53,James Bay,Electric Light,Alternative,0,22
Cate’s Brother,3:01,Maisie Peters,Cate’s Brother - Single,Pop,0,22
This Is On You,3:15,Maisie Peters,"It's Your Bed Babe, It's Your Funeral - EP",Pop,0,22
I'd Like to Know,4:08,Meg Hutchinson,Come Up Full,Singer/Songwriter,0,22
Unknown Legend,4:32,Neil Young,Harvest Moon,Alternative,0,22
Savior (Ghost Note Symphonies),4:55,Rise Against,"The Ghost Note Symphonies, Vol. 1",Rock,0,22
Keep On,4:12,The Steel Wheels,Over the Trees,Americana,0,22
Ooh My Love,5:04,Stevie Nicks,The Other Side of the Mirror,Rock,0,22
it's time to go (bonus track),4:15,Taylor Swift,evermore (deluxe version),Alternative,0,22
illicit affairs,3:11,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Alternative,0,22
I Bet You Think About Me (Taylor's Version) (From The Vault) [feat. Chris Stapleton],4:45,Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0,22
Wildflowers,3:10,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,22
Free Girl Now,3:30,Tom Petty & The Heartbreakers,Echo,Rock,0,22
Echo,6:37,Tom Petty & The Heartbreakers,Echo,Rock,0,22
Hurt,3:17,Tom Petty & The Heartbreakers,You're Gonna Get It!,Rock,0,22
Magnolia,3:01,Tom Petty & The Heartbreakers,You're Gonna Get It!,Rock,0,22
End of the Line,3:27,The Traveling Wilburys,"The Traveling Wilburys, Vol. 1 (Remastered)",Rock,1,22
You Can't Rush Your Healing,5:52,Trevor Hall,KALA (Deluxe Edition),Rock,0,22
The Sore Feet Song,3:05,Ally Kerr,Calling Out To You,Alternative,0,21
Silo Song,4:01,Chris Pureka,Driving North,Singer/Songwriter,0,21
Every Shade of Blue,3:33,The Head and the Heart,Every Shade of Blue,Alternative,0,21
Work Song,3:50,Hozier,Hozier (Bonus Track Version),Alternative,0,21
Ronan,4:45,Minnz Piano,Red Piano Instrumentals,Pop,0,21
